################################################
## Free spectral range of WINERED echellogram ##
################################################
# 
# The values below are vacuum wavelengths defined with angstrom unit.
# Source of data: pinhole flat data obtained in NTT18a.
# Data URL: http://merlot.kyoto-su.ac.jp/LIH_wiki/wiki.cgi/WINERED?page=HIRES+mode%C1%B4%C2%CE%C0%DF%B7%D7%BA%C6%B8%A1%C6%A4#p6
# Date: 20180418
# Pipeline ver.: Not adopted.
# Note: The HIRES values in prev. ver. were shifted from the real FSRs.
# The FSRs of HIRES modes were measured using the pinhole flat data.
#


WIDE: m=42--61
42	13190.00	13510.00
43	12900.00	13190.00
44	12600.00	12900.00
45	12320.00	12600.00
46	12050.00	12320.00
47	11800.00	12050.00
48	11560.00	11800.00
49	11320.00	11560.00
50	11100.00	11320.00
51	10890.00	11100.00
52	10680.00	10890.00
53	10480.00	10680.00
54	10280.00	10480.00
55	10100.00	10280.00
56	9920.00	10100.00
57	9760.00	9920.00
58	9580.00	9760.00
59	9420.00	9580.00
60	9280.00	9420.00
61	9120.00	9280.00

HIRES-Y: m=159--184
159	11059.00	11130.00
160	10990.00	11059.00
161	10922.00	10990.00
162	10855.00	10922.00
163	10789.00	10855.00
164	10724.00	10789.00
165	10659.00	10724.00
166	10595.00	10659.00
167	10532.00	10595.00
168	10470.00	10532.00
169	10408.00	10470.00
170	10347.00	10408.00
171	10287.00	10347.00
172	10227.00	10287.00
173	10168.50	10227.00
174	10110.00	10168.50
175	10053.00	10110.00
176	9996.00	10053.00
177	9940.00	9996.00
178	9884.00	9940.00
179	9829.50	9884.00
180	9775.00	9829.50
181	9721.00	9775.00
182	9668.00	9721.00
183	9615.50	9668.00
184	9565.00	9615.50

HIRES-J: m=131--155
131	13403.00	13494.00
132	13304.50	13403.00
133	13206.00	13304.50
134	13107.50	13206.00
135	13011.00	13107.50
136	12915.00	13011.00
137	12821.00	12915.00
138	12729.00	12821.00
139	12638.00	12729.00
140	12548.00	12638.00
141	12460.00	12548.00
142	12373.00	12460.00
143	12286.00	12373.00
144	12202.00	12286.00
145	12118.00	12202.00
146	12036.00	12118.00
147	11955.00	12036.00
148	11875.00	11955.00
149	11796.00	11875.00
150	11717.50	11796.00
151	11641.00	11717.50
152	11565.00	11641.00
153	11489.50	11565.00
154	11416.00	11489.50
155	11345.00	11416.00
